rouge1,rouge2,rougeL,bert_f1,bleu,model
0.275433570934012,0.09025185519040209,0.20360481403860692,0.16327477,0.005158399204577234,Baseline-BART
0.33454365404643455,0.15185883476936948,0.24918535464412123,0.29015392,0.012093934040595304,LoRA
0.3985621533110128,0.18649416116702092,0.31629086912707044,0.34424582,0.0018942273823241752,Merged
